f(Cortisol),g(Epinephrine),h(CRH),Arousal
3.58462,1.38261,4.13655,9.89203
3.59592,1.38276,4.13694,9.92417
3.59592,1.38276,4.13694,9.92417
3.60719,1.38290,4.13731,9.95621
3.60719,1.38290,4.13731,9.95621
3.61845,1.38305,4.13768,9.98822
3.61845,1.38305,4.13768,9.98822
3.62969,1.38319,4.13806,10.02020
3.62969,1.38319,4.13806,10.02020
3.64091,1.38334,4.13844,10.05213
3.64091,1.38334,4.13844,10.05213
3.65211,1.38348,4.13878,10.08393
3.65211,1.38348,4.13878,10.08393
3.66330,1.38361,4.13913,10.11572
3.66330,1.38361,4.13913,10.11572
3.67447,1.38375,4.13950,10.14747
3.67447,1.38375,4.13950,10.14747
3.68562,1.38389,4.13986,10.17919
3.68562,1.38389,4.13986,10.17919
3.69675,1.38402,4.14019,10.21078
3.69675,1.38402,4.14019,10.21078
3.70786,1.38416,4.14053,10.24236
3.70786,1.38416,4.14053,10.24236
3.71895,1.38429,4.14089,10.27390
3.71895,1.38429,4.14089,10.27390
3.73003,1.38442,4.14124,10.30540
3.73003,1.38442,4.14124,10.30540
3.74108,1.38455,4.14156,10.33679
3.74108,1.38455,4.14156,10.33679
3.75212,1.38467,4.14190,10.36816
3.75212,1.38467,4.14190,10.36816
3.76314,1.38480,4.14225,10.39950
3.76314,1.38480,4.14225,10.39950
3.77413,1.38493,4.14261,10.43080
3.77413,1.38493,4.14261,10.43080
3.78511,1.38505,4.14292,10.46198
3.78511,1.38505,4.14292,10.46198
3.79607,1.38517,4.14317,10.49298
3.79607,1.38517,4.14317,10.49298
3.80701,1.38530,4.14426,10.52553
3.80701,1.38530,4.14426,10.52553
3.81794,1.38542,4.14545,10.55823
3.81794,1.38542,4.14545,10.55823
3.82885,1.38554,4.14656,10.59074
3.82885,1.38554,4.14656,10.59074
3.83974,1.38565,4.14750,10.62292
3.83974,1.38565,4.14750,10.62292
3.85061,1.38577,4.14832,10.65479
3.85061,1.38577,4.14832,10.65479
3.86147,1.38589,4.14919,10.68675
3.86147,1.38589,4.14919,10.68675
3.87231,1.38600,4.14991,10.71837
3.87231,1.38600,4.14991,10.71837
3.88313,1.38612,4.15053,10.74974
3.88313,1.38612,4.15053,10.74974
3.89393,1.38623,4.15109,10.78096
3.89393,1.38623,4.15109,10.78096
3.90471,1.38635,4.15163,10.81208
3.90471,1.38635,4.15163,10.81208
3.91548,1.38646,4.15043,10.83975
3.91548,1.38646,4.15043,10.83975
